SummitCode,RegionName,SummitName,AltM,AltFt,Latitude,Longitude,Points,BonusPoints,ActivationCount,ParcelOwner1,Region1,ParcelOwner2,Region2,ParcelOwner3,Region3,ManualAccess,ComputedAccess,RFNearby,Notes 1,ValidFrom,ValidTo,CurrentlyActive,FAYear,FAMonth,FADay,FADate,FACalls
W7W/CH-101,WA-Chelan,7492 Graham Harbor Mountain,2284,7492,48.0728,-120.5474,8,3,2,,,,,,,,,,,1. Dec. 2010,31. Dec. 2099,TRUE,2016,7,24,2016-07-24,"K7MAS,KG7EJT"
W7W/CH-102,WA-Chelan,7484 Camels Butte,2281,7484,48.3403,-120.5815,8,3,1,,,,,,,,,,,1. Dec. 2010,31. Dec. 2099,TRUE,2017,10,9,2017-10-09,KE7JWP
W7W/CH-103,WA-Chelan,The Cradle,2276,7467,47.5608,-121.0329,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-104,WA-Chelan,Three Wives,2271,7450,48.4362,-120.7302,8,3,0,NPS,North Cascades NP,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-105,WA-Chelan,Splawn Mtn,2271,7450,48.3156,-120.5617,8,3,0,NPS,Lake Chelan NRA,USFS,Okanogan NF,,,Open,Open,,,1. Dec. 2010,30. Nov. 2016,FALSE,1899,12,30,,
W7W/CH-106,WA-Chelan,Sisi Ridge,2269,7444,48.3386,-120.8004,8,3,0,NPS,Lake Chelan NRA,USFS,Wenatchee NF,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-107,WA-Chelan,Indian Head Peak,2262,7420,48.0063,-121.1017,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-108,WA-Chelan,7437 Phase Shift Mtn,2267,7437,48.1582,-120.7014,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-109,WA-Chelan,McGregor Benchmark,2263,7424,48.4031,-120.7599,8,3,0,NPS,Lake Chelan NRA,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-110,WA-Chelan,South Goode Ridge,2262,7420,48.4629,-120.8982,8,3,0,NPS,North Cascades NP,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-111,WA-Chelan,Mount David,2262,7420,47.963,-120.9895,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
